city,state_name,population
Golden Valley,Minnesota,21927
Duarte,California,21921
West Carson,California,21909
Klamath Falls,Oregon,21879
Parsippany,New Jersey,21869
Sedalia,Missouri,21869
Shelby,North Carolina,21868
Darien,Illinois,21855
Lino Lakes,Minnesota,21847
Woodlawn,Virginia,21828
Massapequa,New York,21822
Merrick,New York,21816
Carbondale,Illinois,21813
Pascagoula,Mississippi,21812
Suwanee,Georgia,21811
Rio Rico,Arizona,21798
Silver Firs,Washington,21796
Lakeside,California,21788
Four Square Mile,Colorado,21788
Holiday,Florida,21768
Yucca Valley,California,21744
New Castle,Pennsylvania,21727
Harvey,Louisiana,21710
Selden,New York,21707
American Canyon,California,21698
Port Hueneme,California,21691
Hurricane,Utah,21677
Willowbrook,California,21642
St. John,Indiana,21639
Valinda,California,21626
Birmingham,Michigan,21612
Dickinson,Texas,21612
South Euclid,Ohio,21606
Green Valley,Arizona,21581
Alliance,Ohio,21574
Clemmons,North Carolina,21574
Waxhaw,North Carolina,21565
Del City,Oklahoma,21561
Ennis,Texas,21546
Seymour,Indiana,21536
Lindenwold,New Jersey,21534
Florida Ridge,Florida,21517
Pleasant Prairie,Wisconsin,21515
Rocky River,Ohio,21490
Rose Hill,Virginia,21484
Tukwila,Washington,21479
North Ogden,Utah,21473
Helena,Alabama,21452
Five Corners,Washington,21444
Secaucus,New Jersey,21437
Mount Pleasant,Michigan,21420
Mountlake Terrace,Washington,21419
Ashland,Kentucky,21405
New Hope,Minnesota,21402
Granite Bay,California,21378
East Patchogue,New York,21364
Otsego,Minnesota,21358
Stephenville,Texas,21345
Ashland,Oregon,21343
Carlisle,Pennsylvania,21335
Gallup,New Mexico,21333
South Lake Tahoe,California,21319
Stevenson Ranch,California,21317
Candler-McAfee,Georgia,21316
Mesquite,Nevada,21314
Mukilteo,Washington,21312
Geneva,Illinois,21299
Battle Ground,Washington,21293
Mustang,Oklahoma,21290
Elmwood Park,New Jersey,21287
Milwaukie,Oregon,21256
Hunters Creek,Florida,21255
Lebanon,Ohio,21216
Montgomery,Illinois,21205
Snellville,Georgia,21203
Carrboro,North Carolina,21170
Baldwin,Pennsylvania,21159
Willmar,Minnesota,21136
Bryant,Arkansas,21125
Old Jamestown,Missouri,21121
Hanahan,South Carolina,21119
Mineola,New York,21082
Hays,Kansas,21078
West St. Paul,Minnesota,21076
Gardner,Massachusetts,21075
Silverdale,Washington,21046
Lealman,Florida,21026
South Holland,Illinois,21016
Bothell West,Washington,21014
Sulphur,Louisiana,21004
Murphy,Texas,21001
Dolton,Illinois,20979
Anna,Texas,20975
Princeton,Texas,20966
Covington,Washington,20957
Fort Walton Beach,Florida,20956
St. Andrews,South Carolina,20953
Brushy Creek,Texas,20953
Vicksburg,Mississippi,20944
Imperial,California,20943
Germantown,Wisconsin,20940
Park Forest,Illinois,20898
Arnold,Missouri,20884
Arbutus,Maryland,20869
Hyattsville,Maryland,20861
Mill Creek,Washington,20846
Rosedale,Maryland,20845
Murrysville,Pennsylvania,20839
East Moline,Illinois,20837
Rosamond,California,20835
Louisville,Colorado,20788
North Liberty,Iowa,20782
North Bellmore,New York,20776
Hauppauge,New York,20772
West Hempstead,New York,20762
Fate,Texas,20757
Midway,Florida,20745
Grayslake,Illinois,20707
Wade Hampton,South Carolina,20703
Montrose,Colorado,20703
Lockport,New York,20699
Marquette,Michigan,20691
West Pensacola,Florida,20679
Northfield,Minnesota,20678
Forest Lake,Minnesota,20678
Tullahoma,Tennessee,20672
Saco,Maine,20636
South St. Paul,Minnesota,20633
Elko,Nevada,20624
Groveland,Florida,20621
Shafter,California,20618
Parma Heights,Ohio,20616
Pittsburg,Kansas,20606
Bethany,Oklahoma,20606
Pleasantville,New Jersey,20604
Arlington,Washington,20599
Altoona,Iowa,20592
Merrifield,Virginia,20549
South Milwaukee,Wisconsin,20547
Piqua,Ohio,20533
North Bay Shore,New York,20501
Libertyville,Illinois,20493
Adrian,Michigan,20493
South Burlington,Vermont,20488
Westbrook,Maine,20484
Golden,Colorado,20467
Sidney,Ohio,20457
Painesville,Ohio,20453
Buckhall,Virginia,20447
Culpeper,Virginia,20437
Frankfort,Illinois,20417
Lomita,California,20409
Meadowbrook,Virginia,20383
Makakilo,Hawaii,20372
Portland,Texas,20369
North Amityville,New York,20364
Monroe,Michigan,20330
East Hemet,California,20292
Lennox,California,20289
Howard,Wisconsin,20261
Westminster,Maryland,20257
Morristown,New Jersey,20256
Lynbrook,New York,20251
Sherwood,Oregon,20227
Centerton,Arkansas,20212
Palisades Park,New Jersey,20192
Rolla,Missouri,20144
East Massapequa,New York,20142
La Cañada Flintridge,California,20094
Nanuet,New York,20089
Port Angeles,Washington,20087
Mayfield Heights,Ohio,20082
Affton,Missouri,20035
Alamo,Texas,20008
Forest Park,Ohio,19994
West Haven,Utah,19977
Whitehall,Ohio,19974
Sand Springs,Oklahoma,19973
La Crescenta-Montrose,California,19940
Ypsilanti,Michigan,19937
Claremore,Oklahoma,19921
Lincolnia,Virginia,19913
Mokena,Illinois,19906
Plainview,Texas,19893
Punta Gorda,Florida,19886
Agoura Hills,California,19881
Plattsburgh,New York,19878
Shelbyville,Indiana,19866
Miamisburg,Ohio,19859
Oroville,California,19855
Universal City,Texas,19853
Altamont,Oregon,19844
Harvey,Illinois,19831
Oregon,Ohio,19821
Bartow,Florida,19801
Brigham City,Utah,19796
Lackawanna,New York,19779
Palm Valley,Florida,19775
Albany,California,19768
Broadview Heights,Ohio,19768
Greenfield,California,19759
Crest Hill,Illinois,19754
Nogales,Arizona,19753
Clifton,Colorado,19746
Tavares,Florida,19738
Lake Zurich,Illinois,19727
Monroe,Washington,19696
Lexington,North Carolina,19691
Erlanger,Kentucky,19677
East Northport,New York,19672
Casa de Oro-Mount Helix,California,19651
Zachary,Louisiana,19637
Roosevelt,New York,19636
Highland,Utah,19625
Sartell,Minnesota,19620
Forest Park,Georgia,19619
Harrison,New Jersey,19599
Angleton,Texas,19597
Salmon Creek,Washington,19594
Mead Valley,California,19588
Springboro,Ohio,19577
Kinston,North Carolina,19576
Bradfordville,Florida,19548
Sweetwater,Florida,19544
Boone,North Carolina,19534
Knightdale,North Carolina,19532
Boerne,Texas,19509
Evergreen Park,Illinois,19498
Cedar Mill,Oregon,19482
Arvin,California,19478
Hawthorne,New Jersey,19472
Orinda,California,19472
Homewood,Illinois,19471
Cutlerville,Michigan,19465
Lynn Haven,Florida,19451
Madisonville,Kentucky,19442
Warrensburg,Missouri,19437
Naples,Florida,19421
South El Monte,California,19413
Hermiston,Oregon,19406
Englewood,Florida,19385
Sherrelwood,Colorado,19368
Fayetteville,Georgia,19364
Twinsburg,Ohio,19346
North Myrtle Beach,South Carolina,19343
West Mifflin,Pennsylvania,19338
Seminole,Florida,19336
Cocoa,Florida,19330
Rosedale,California,19325
Stillwater,Minnesota,19323
Santa Fe Springs,California,19310
Trinity,Florida,19296
Prunedale,California,19286
Maumelle,Arkansas,19286
Maitland,Florida,19268
St. Michael,Minnesota,19267
Valle Vista,California,19263
Durango,Colorado,19257
Tinton Falls,New Jersey,19252
Holtsville,New York,19250
Hermosa Beach,California,19248
Brookfield,Illinois,19235
West Chester,Pennsylvania,19235
Republic,Missouri,19233
Lumberton,North Carolina,19220
Durant,Oklahoma,19209
Alton,Texas,19205
Harrisburg,North Carolina,19203
Lake Forest,Illinois,19190
Melville,New York,19187
Deerfield,Illinois,19185
Central Point,Oregon,19183
Orange,Texas,19178
Point Pleasant,New Jersey,19158
Dixon,California,19158
Ferndale,Michigan,19156
Iselin,New Jersey,19151
Cinco Ranch,Texas,19139
Winchester,Kentucky,19133
Lakeway,Texas,19130
Prichard,Alabama,19121
Liberal,Kansas,19107
Kingsland,Georgia,19101
Five Forks,South Carolina,19093
Beltsville,Maryland,19086
Olivehurst,California,19071
Phoenixville,Pennsylvania,19062
East Riverdale,Maryland,19043
Sylvania,Ohio,19038
Sheridan,Wyoming,19035
Badger,Alaska,19033
Gautier,Mississippi,19026
Haslett,Michigan,19025
Norwood,Ohio,19023
Terrell,Texas,19019
Ashland,Ohio,19008
Crowley,Texas,19007
Augusta,Maine,18999
Springfield,Tennessee,18985
Lebanon,Oregon,18978
Redland,Maryland,18976
Seagoville,Texas,18968
Fox Crossing,Wisconsin,18960
Ansonia,Connecticut,18951
Cumberland,Maryland,18938
Knik-Fairview,Alaska,18921
Ellensburg,Washington,18913
Onalaska,Wisconsin,18909
Mebane,North Carolina,18899
Cullman,Alabama,18894
Palestine,Texas,18888
Chowchilla,California,18876
Lansdale,Pennsylvania,18865
Winder,Georgia,18847
White Oak,Ohio,18845
Pinole,California,18835
La Marque,Texas,18833
Gibsonton,Florida,18831
Cimarron Hills,Colorado,18808
Brownwood,Texas,18805
St. Marys,Georgia,18805
Martinsburg,West Virginia,18805
Weirton,West Virginia,18785
Clive,Iowa,18776
Wisconsin Rapids,Wisconsin,18756
Rutherford,New Jersey,18748
Elizabeth City,North Carolina,18740
Thomasville,Georgia,18720
Marshfield,Wisconsin,18718
Ottawa,Illinois,18714
Midlothian,Virginia,18702
Hopkins,Minnesota,18696
Country Walk,Florida,18693
Ocean Acres,New Jersey,18689
Steiner Ranch,Texas,18683
Matteson,Illinois,18681
Altus,Oklahoma,18670
Maryland City,Maryland,18669
Alsip,Illinois,18650
Creve Coeur,Missouri,18643
Round Lake,Illinois,18588
Arcata,California,18578
Bensenville,Illinois,18576
Ocean Springs,Mississippi,18561
Coronado,California,18558
Preakness,New Jersey,18538
Franklin Farm,Virginia,18509
Ammon,Idaho,18496
Seabrook,Maryland,18495
Panama City Beach,Florida,18493
Oxon Hill,Maryland,18491
Glenvar Heights,Florida,18488
Castaic,California,18479
Nederland,Texas,18475
Zephyrhills,Florida,18471
North Decatur,Georgia,18460
Centralia,Washington,18457
Fort Carson,Colorado,18447
Newburyport,Massachusetts,18444
Newton,Kansas,18443
Fairwood,Washington,18437
Dover,New Jersey,18420
Sudley,Virginia,18420
Arroyo Grande,California,18412
Tallmadge,Ohio,18394
Oconomowoc,Wisconsin,18385
Albert Lea,Minnesota,18379
North Aurora,Illinois,18375
Bellwood,Illinois,18373
Ronkonkoma,New York,18368
New River,Arizona,18365
Brook Park,Ohio,18359
Ferguson,Missouri,18350
Berea,Ohio,18330
Bayshore Gardens,Florida,18324
Fairmont,West Virginia,18303
Niles,Ohio,18301
Colonia,New Jersey,18294
Lake Ronkonkoma,New York,18289
Lenoir,North Carolina,18282
East St. Louis,Illinois,18278
Syosset,New York,18274
Lake Shore,Maryland,18263
Shenandoah,Louisiana,18259
San Carlos Park,Florida,18252
Johnstown,Pennsylvania,18245
Sycamore,Illinois,18243
Trenton,Michigan,18242
Franklin Park,Illinois,18233
Mount Washington,Kentucky,18228
Shorewood,Illinois,18218
Colonial Heights,Virginia,18210
North Babylon,New York,18208
Woodmere,New York,18198
Manchester,Missouri,18189
Spanish Lake,Missouri,18183
Laurel,Virginia,18180
North Druid Hills,Georgia,18172
Bluffdale,Utah,18168
Amsterdam,New York,18162
Steubenville,Ohio,18144
Franconia,Virginia,18141
Palos Hills,Illinois,18139
Pinecrest,Florida,18138
Menasha,Wisconsin,18130
Colonial Park,Pennsylvania,18125
White Settlement,Texas,18119
Bourbonnais,Illinois,18109
Wallingford Center,Connecticut,18107
Sevierville,Tennessee,18105
Canby,Oregon,18103
McAlester,Oklahoma,18098
Siloam Springs,Arkansas,18096
Burlington,Kentucky,18090
Brenham,Texas,18086
Johnstown,Colorado,18075
Dumont,New Jersey,18072
Phelan,California,18059
Stuart,Florida,18058
Pataskala,Ohio,18049
Cohoes,New York,18043
North Massapequa,New York,18037
Gainesville,Virginia,18036
Concord,Missouri,18028
Scarsdale,New York,18005
Farmington,Missouri,17999
Pinehurst,North Carolina,17992
Cudahy,Wisconsin,17964
Wantagh,New York,17964
Stanford,California,17958
Anoka,Minnesota,17941
Los Lunas,New Mexico,17932
Mount Holly,North Carolina,17928
Ashtabula,Ohio,17919
Portsmouth,Ohio,17919
El Reno,Oklahoma,17919
Conyers,Georgia,17916
Parole,Maryland,17910
Murray,Kentucky,17888
Hybla Valley,Virginia,17877
Cary,Illinois,17875
Anacortes,Washington,17837
Blythe,California,17824
Hope Mills,North Carolina,17823
Bay City,Texas,17816
Tiffin,Ohio,17814
Villa Rica,Georgia,17798
Alice,Texas,17797
Willimantic,Connecticut,17774
Logansport,Indiana,17766
Clemson,South Carolina,17759
North Valley Stream,New York,17756
North Canton,Ohio,17746
Godfrey,Illinois,17743
Troy,Alabama,17733
West Columbia,South Carolina,17723
Calverton,Maryland,17721
Holly Springs,Georgia,17693
Gainesville,Texas,17688
Glassmanor,Maryland,17687
Natchitoches,Louisiana,17682
Tillmans Corner,Alabama,17678
Norcross,Georgia,17669
Lemont,Illinois,17643
Port Washington,New York,17613
Calhoun,Georgia,17611
Buford,Georgia,17611
Goodlettsville,Tennessee,17598
Hernando,Mississippi,17580
Bryn Mawr-Skyway,Washington,17577
Lebanon,Indiana,17575
New Philadelphia,Ohio,17563
South Ogden,Utah,17563
Morganton,North Carolina,17541
Lake St. Louis,Missouri,17538
Eastlake,Ohio,17538
Graham,North Carolina,17537
Camano,Washington,17535
Takoma Park,Maryland,17522
McKeesport,Pennsylvania,17520
Wahiawa,Hawaii,17515
Streetsboro,Ohio,17514
Spanish Springs,Nevada,17512
Melissa,Texas,17497
Kirksville,Missouri,17493
St. Matthews,Kentucky,17491
Jacksonville,Illinois,17490
Idylwood,Virginia,17469
Gretna,Louisiana,17468
Cortland,New York,17465
South San Jose Hills,California,17451
Burke Centre,Virginia,17447
Selma,Alabama,17442
Heber,Utah,17438
Auburndale,Florida,17438
Kingstowne,Virginia,17436
Shelbyville,Kentucky,17436
Pinewood,Florida,17427
Powder Springs,Georgia,17414
Wayne,Michigan,17413
Richmond Hill,Georgia,17408
Oak Grove,Oregon,17408
South Venice,Florida,17399
Aurora,Ohio,17386
El Dorado,Arkansas,17382
Rancho Mirage,California,17375
Royse City,Texas,17357
New Castle,Indiana,17356
Firestone,Colorado,17353
Coalinga,California,17352
Laguna Woods,California,17342
Bethpage,New York,17334
Jenison,Michigan,17334
Murraysville,North Carolina,17307
Bon Air,Virginia,17302
Cameron Park,California,17283
Clayton,Missouri,17282
Stafford,Texas,17279
Nipomo,California,17266
Fort Thomas,Kentucky,17242
Lake Butler,Florida,17242
Kaukauna,Wisconsin,17237
Danville,Kentucky,17235
Dallas,Oregon,17214
Charleston,Illinois,17212
Adelphi,Maryland,17210
Easton,Maryland,17202
Calera,Alabama,17188
Glenn Heights,Texas,17175
Cahokia Heights,Illinois,17173
Viera West,Florida,17169
Upper Grand Lagoon,Florida,17162
Hinsdale,Illinois,17155
McKinleyville,California,17152
Avenel,New Jersey,17143
Tifton,Georgia,17140
Hampton Bays,New York,17138
Laurel,Mississippi,17129
Addison,Texas,17128
West Richland,Washington,17126
Wixom,Michigan,17126
Bellaire,Texas,17116
Woodcrest,California,17111
Ojus,Florida,17101
Cañon City,Colorado,17098
Sunland Park,New Mexico,17085
Ferndale,Maryland,17076
Pendleton,Oregon,17070
New Port Richey,Florida,17057
Norwalk,Ohio,17054
Fairview Park,Ohio,17049
Safety Harbor,Florida,17040
Aberdeen,Washington,17040
Oswego,New York,17028
Huntington,Indiana,17026
Bristol,Virginia,17024
Groves,Texas,17021
Hollins,Virginia,17005
Flowing Wells,Arizona,16989
Massapequa Park,New York,16985
Laconia,New Hampshire,16982
Beckley,West Virginia,16977
Rio Linda,California,16951
Washougal,Washington,16945
Truckee,California,16942
Ashwaubenon,Wisconsin,16931
Millbrook,Alabama,16923
Manassas Park,Virginia,16923
Manor,Texas,16917
New Milford,New Jersey,16882
Long Beach,Mississippi,16876
Milledgeville,Georgia,16873
Live Oak,California,16866
Damascus,Maryland,16864
El Segundo,California,16863
Aberdeen,Maryland,16831
Defiance,Ohio,16830
Hannibal,Missouri,16825
Belle Glade,Florida,16818
Mount Dora,Florida,16812
Mount Vernon,Ohio,16802
Marion,Illinois,16796
Moraga,California,16790
Vero Beach,Florida,16785
Donna,Texas,16774
Taylor,Texas,16767
Estelle,Louisiana,16761
Schofield Barracks,Hawaii,16755
Wildwood,Florida,16739
Pampa,Texas,16735
Fullerton,Pennsylvania,16729
Cloverly,Maryland,16726
Lake Mary,Florida,16724
Bridgeview,Illinois,16721
Waterville,Maine,16704
Centerville,Utah,16692
Bull Run,Virginia,16688
Vincennes,Indiana,16676
Eloy,Arizona,16671
Muscle Shoals,Alabama,16670
Fillmore,California,16665
Youngsville,Louisiana,16664
Red Wing,Minnesota,16660
Berea,South Carolina,16642
Chaparral,New Mexico,16642
Myrtle Grove,Florida,16637
Glen Allen,Virginia,16630
Beaver Dam,Wisconsin,16629
Fairburn,Georgia,16609
Farmingville,New York,16605
Clearlake,California,16604
La Vista,Nebraska,16594
Warsaw,Indiana,16592
Palmetto Estates,Florida,16587
Ham Lake,Minnesota,16575
Menomonie,Wisconsin,16548
Bostonia,California,16545
Hueytown,Alabama,16541
Ada,Oklahoma,16536
Glenmont,Maryland,16529
Albemarle,North Carolina,16527
Westchester,Illinois,16524
Fort Hunt,Virginia,16519
Grovetown,Georgia,16516
Tahlequah,Oklahoma,16513
Hot Springs Village,Arkansas,16509
Radford,Virginia,16505
Morton,Illinois,16503
Stallings,North Carolina,16495
Payson,Arizona,16494
Kerman,California,16492
Humble,Texas,16489
Hanover,Pennsylvania,16483
Red Hill,South Carolina,16480
Havelock,North Carolina,16471
Madison,New Jersey,16464
White Oak,Maryland,16458
Mercedes,Texas,16449
Lemay,Missouri,16431
Three Lakes,Florida,16426
Jasper,Indiana,16421
Country Club Hills,Illinois,16419
Ukiah,California,16419
Crawfordsville,Indiana,16408
Dyer,Indiana,16400
Port Orchard,Washington,16398
Brownsville,Florida,16391
Buffalo,Minnesota,16388
Mastic Beach,New York,16382
Vienna,Virginia,16369
North Arlington,New Jersey,16368
Lake Wales,Florida,16365
River Falls,Wisconsin,16349
Chickasha,Oklahoma,16349
Stone Ridge,Virginia,16340
Lady Lake,Florida,16337
Mattoon,Illinois,16334
Sunnyside,Washington,16329
Saraland,Alabama,16304
Pearl River,New York,16282
Ocean Pointe,Hawaii,16276
Mountain Home,Idaho,16265
Ladson,South Carolina,16261
Fairview Heights,Illinois,16255
Bellevue,Wisconsin,16255
Kings Park,New York,16249
Dickson,Tennessee,16246
Hewitt,Texas,16244
Poplar Bluff,Missouri,16243
Welby,Colorado,16232
Sikeston,Missouri,16231
Griffith,Indiana,16228
Sulphur Springs,Texas,16185
Grosse Pointe Woods,Michigan,16177
Four Corners,Oregon,16168
Lithia Springs,Georgia,16138
Grandville,Michigan,16135
Hermitage,Pennsylvania,16132
Center Point,Alabama,16125
Fort Drum,New York,16124
Douglas,Arizona,16118
Ripon,California,16117
Azalea Park,Florida,16110
Gardendale,Alabama,16110
Hibbing,Minnesota,16100
Opa-locka,Florida,16097
Glasgow,Delaware,16095
Hugo,Minnesota,16076
Dyersburg,Tennessee,16075
East Highland Park,Virginia,16071
Mount Pleasant,Texas,16061
Gatesville,Texas,16058
Southern Pines,North Carolina,16052
Artesia,California,16044
Niceville,Florida,16043
St. Simons,Georgia,16026
Floral Park,New York,16025
Lynden,Washington,16025
Dublin,Georgia,16023
Hayden,Idaho,16021
Wolf Trap,Virginia,16020
South Houston,Texas,16017
South River,New Jersey,16007
Highland Village,Texas,16004
Troutdale,Oregon,16000
La Grange,Illinois,15999
Marco Island,Florida,15998
Bay Village,Ohio,15992
Seven Oaks,South Carolina,15990
The Dalles,Oregon,15973
Grain Valley,Missouri,15967
Longwood,Florida,15952
Washington,Illinois,15946
Warrington,Florida,15935
Indianola,Iowa,15918
Seymour,Tennessee,15914
Americus,Georgia,15910
Red Oak,Texas,15909
Chubbuck,Idaho,15900
Rendon,Texas,15894
Frederick,Colorado,15893
Seaford,New York,15884
Parkway,California,15880
Live Oak,Texas,15875
Dayton,Nevada,15873
Palmer Ranch,Florida,15873
Coos Bay,Oregon,15867
Elkton,Maryland,15867
Fremont,Ohio,15851
Clarksburg,West Virginia,15829
Fruitville,Florida,15828
Middleburg Heights,Ohio,15817
Grimes,Iowa,15810
Brooklyn Park,Maryland,15799
Thibodaux,Louisiana,15792
Westbury,New York,15789
Gulf Shores,Alabama,15785
Weston,Wisconsin,15784
Jamestown,North Dakota,15774
Overland,Missouri,15762
Hartford,Wisconsin,15761
Wailuku,Hawaii,15754
Rutland,Vermont,15747
Chelsea,Alabama,15731
Vail,Arizona,15722
Fort Mohave,Arizona,15716
Whitewater,Wisconsin,15705
Newton,Iowa,15696
Prospect Heights,Illinois,15681
Springdale,New Jersey,15672
Hillcrest Heights,Maryland,15670
Opelousas,Louisiana,15662
Bellmore,New York,15652
Palmview,Texas,15650
Scottsboro,Alabama,15641
Mitchell,South Dakota,15637
Summerfield,Maryland,15635
Mays Chapel,Maryland,15616
Sayville,New York,15593
Hartselle,Alabama,15586
Mount Clemens,Michigan,15567
West Lealman,Florida,15560
Berea,Kentucky,15557
Shively,Kentucky,15556
Frankfort,Indiana,15536
Jackson,Missouri,15532
Tanque Verde,Arizona,15531
Greeneville,Tennessee,15531
Yulee,Florida,15521
Lake Stickney,Washington,15514
Carthage,Missouri,15513
Andover,Kansas,15508
Yankton,South Dakota,15501
Batavia,New York,15494
Traverse City,Michigan,15491
Bemidji,Minnesota,15490
Buda,Texas,15487
Greenwood Village,Colorado,15485
Alpine,California,15470
Homosassa Springs,Florida,15465
Ferndale,Washington,15447
Walnut Park,California,15446
Aldine,Texas,15434
Eggertsville,New York,15416
Weigelstown,Pennsylvania,15401
Canyon,Texas,15398
Dentsville,South Carolina,15396
Santaquin,Utah,15391
Ewa Beach,Hawaii,15388
Princeton Meadows,New Jersey,15382
La Palma,California,15375
Minneola,Florida,15371
Coto de Caza,California,15363
Eden,North Carolina,15353
Uvalde,Texas,15344
New Haven,Indiana,15339
Monroe,Georgia,15336
Bradley,Illinois,15331
Fort Leonard Wood,Missouri,15317
Coolidge,Arizona,15300
Franklin Park,Pennsylvania,15273
Brookside,Delaware,15262
Rio Grande City,Texas,15258
Hendersonville,North Carolina,15253
Tenafly,New Jersey,15252
Phillipsburg,New Jersey,15251
Discovery Bay,California,15243
Asbury Park,New Jersey,15239
Northview,Michigan,15225
Harper Woods,Michigan,15205
Lake Wylie,South Carolina,15177
Norridge,Illinois,15177
Dixon,Illinois,15166
Lebanon,Missouri,15157
Front Royal,Virginia,15152
Vincent,California,15151
Glasgow,Kentucky,15141
Belmont,North Carolina,15140
Johnson City,New York,15130
Mineral Wells,Texas,15130
Vandalia,Ohio,15100
Kenmore,New York,15097
Highland Springs,Virginia,15091
Rossville,Maryland,15088
Berkley,Michigan,15084
Beech Grove,Indiana,15082
Laurinburg,North Carolina,15079
West Park,Florida,15076
Depew,New York,15065
Gantt,South Carolina,15057
Los Osos,California,15048
Port Royal,South Carolina,15047
Tonawanda,New York,15044
Talladega,Alabama,15041
Mastic,New York,15031
Monroe,Ohio,15024
Roanoke Rapids,North Carolina,15024
White Center,Washington,15017
Camp Pendleton South,California,15011
Gloversville,New York,15010
Macomb,Illinois,15006
Hudson,Wisconsin,15004
Pacific Grove,California,15003
Susanville,California,14992
Arlington,Tennessee,14989
Greenlawn,New York,14986
Metuchen,New Jersey,14982
Highland Park,New Jersey,14981
Spring Creek,Nevada,14967
South Farmingdale,New York,14953
Washington,Missouri,14948
Hazel Park,Michigan,14945
Lemon Hill,California,14942
Lilburn,Georgia,14939
Lake Arbor,Maryland,14932
Waunakee,Wisconsin,14927
Henderson,North Carolina,14922
Fairview,New Jersey,14920
West University Place,Texas,14907
Glenn Dale,Maryland,14896
Boulder City,Nevada,14888
Fort Payne,Alabama,14886
Loganville,Georgia,14878
Hereford,Texas,14874
Oldsmar,Florida,14872
Forest City,Florida,14871
Riverdale,Georgia,14866
Havre de Grace,Maryland,14857
Williamstown,New Jersey,14855
Great Falls,Virginia,14854
Davidson,North Carolina,14852
Cherry Hill Mall,New Jersey,14827
California City,California,14821
Bensville,Maryland,14792
Greensburg,Pennsylvania,14777
Morris,Illinois,14775
Lebanon,New Hampshire,14759
Worthington,Ohio,14754
Lockhart,Florida,14753
Antioch,Illinois,14751
Whitefish Bay,Wisconsin,14750
Hammonton,New Jersey,14746
Chatham,Illinois,14740
Deming,New Mexico,14735
Ramsey,New Jersey,14722
Hickory Hills,Illinois,14718
Lockhart,Texas,14708
Cedar Lake,Indiana,14686
Alexander City,Alabama,14686
Broadlands,Virginia,14673
Sterling,Illinois,14670
Lakeland North,Washington,14664
Thonotosassa,Florida,14660
Owosso,Michigan,14658
Black Forest,Colorado,14658
Gladeview,Florida,14657
Greendale,Wisconsin,14656
Chippewa Falls,Wisconsin,14643
Beacon,New York,14629
Hutchinson,Minnesota,14629
Naranja,Florida,14610
Monticello,Minnesota,14607
Fraser,Michigan,14604
Swansea,Illinois,14603
Great Bend,Kansas,14596
Falls Church,Virginia,14593
Red Bluff,California,14592
Alexandria,Minnesota,14579
Cherryland,California,14575
Clarkston,Georgia,14560
Key Biscayne,Florida,14560
Reidsville,North Carolina,14547
Nolensville,Tennessee,14545
Parlier,California,14545
Moultrie,Georgia,14545
Edgewater,New Jersey,14544
Moorestown-Lenola,New Jersey,14523
Salem Lakes,Wisconsin,14521
Middlesex,New Jersey,14518
Verona,Wisconsin,14499
Mount Vernon,Illinois,14492
Bothell East,Washington,14487
Jasper,Alabama,14480
Brainerd,Minnesota,14474
Hopatcong,New Jersey,14470
Oneonta,New York,14467
Wilmington Island,Georgia,14457
Salida,California,14457
Corinth,Mississippi,14450
Livingston,California,14450
Alamo,California,14441
Dallas,Georgia,14440
Kemp Mill,Maryland,14437
Clarksdale,Mississippi,14423
Belvedere Park,Georgia,14422
New Cassel,New York,14414
Scottsbluff,Nebraska,14406
Washington Court House,Ohio,14406
Short Hills,New Jersey,14398
Somerton,Arizona,14383
Lindenhurst,Illinois,14365
Elizabethton,Tennessee,14364
Moncks Corner,South Carolina,14362
Dumas,Texas,14362
North New Hyde Park,New York,14354
Bainbridge,Georgia,14353
Shepherdsville,Kentucky,14351
Ozark,Alabama,14348
Huron,South Dakota,14347
Jacksonville,Alabama,14345
Covington,Georgia,14334
Hershey,Pennsylvania,14334
Latham,New York,14327
Chesterton,Indiana,14326
Robbinsdale,Minnesota,14318
Bradley Gardens,New Jersey,14315
Hobe Sound,Florida,14313
Iona,Florida,14290
New Kingman-Butler,Arizona,14281
East Milton,Florida,14280
Pineville,Louisiana,14268
Hidalgo,Texas,14250
Athens,Tennessee,14250
Jefferson,Georgia,14249
West Freehold,New Jersey,14233
Warrenville,Illinois,14232
Powell,Ohio,14229
East Rancho Dominguez,California,14219
Sierra Vista Southeast,Arizona,14213
North Mankato,Minnesota,14212
Natchez,Mississippi,14207
Piney Green,North Carolina,14205
Jefferson Valley-Yorktown,New York,14195
Jacksonville,Texas,14186
Willowick,Ohio,14182
Waimalu,Hawaii,14176
Indiana,Pennsylvania,14170
Wilkinsburg,Pennsylvania,14165
Ardmore,Pennsylvania,14165
Federal Heights,Colorado,14160
Wells Branch,Texas,14156
St. Helens,Oregon,14152
Southchase,Florida,14149
Chicago Ridge,Illinois,14147
Circleville,Ohio,14144
Braselton,Georgia,14139
Fergus Falls,Minnesota,14138
McFarland,California,14138
Lone Tree,Colorado,14136
Grass Valley,California,14126
Dunmore,Pennsylvania,14123
Jericho,New York,14117
East Wenatchee,Washington,14114
Shiloh,Illinois,14109
Sun Lakes,Arizona,14079
Lakewood Park,Florida,14077
Colesville,Maryland,14075
Lakeland,Tennessee,14068
New Ulm,Minnesota,14066
Mill Valley,California,14064
Artondale,Washington,14051
Bellefontaine,Ohio,14051
Newport,Kentucky,14039
Smithfield,Utah,14033
Midlothian,Illinois,14024
