city,state_name,population
Newton,Massachusetts,88504
Joplin,Missouri,88490
Lawrence,Massachusetts,88297
Springdale,Arkansas,87388
Troy,Michigan,87307
Citrus Heights,California,87036
Deerfield Beach,Florida,86742
Town 'n' Country,Florida,86544
Winchester,Virginia,86501
Mission,Texas,86234
Bryan,Texas,86169
Hawthorne,California,85933
Whittier,California,85925
Livermore,California,85870
Lake Forest,California,85846
San Ramon,California,85734
Melbourne,Florida,85718
Franklin,Tennessee,85575
Auburn,Washington,85455
Port Huron,Michigan,85051
Decatur,Illinois,84629
Baytown,Texas,84538
Brooklyn Park,Minnesota,84349
Springfield,Ohio,84309
Newport Beach,California,84304
Westland,Michigan,84155
Newark,Ohio,83890
Muncie,Indiana,83477
Farmington Hills,Michigan,83316
Cicero,Illinois,83223
Buena Park,California,83052
Warwick,Rhode Island,82871
Hattiesburg,Mississippi,82730
Cranston,Rhode Island,82632
Albany,Georgia,82612
Layton,Utah,82512
Madera,California,82510
Largo,Florida,82506
Redwood City,California,82423
Mountain View,California,82363
Pine Hills,Florida,82264
Folsom,California,82140
Silver Spring,Maryland,82129
Johns Creek,Georgia,82115
The Villages,Florida,82108
Owensboro,Kentucky,81734
Napa,California,81643
New Rochelle,New York,81591
Alhambra,California,81483
Cheyenne,Wyoming,81378
Miami Beach,Florida,81319
Wenatchee,Washington,81106
Jackson,Michigan,81058
Lehi,Utah,81039
Anderson,Indiana,80820
Homestead,Florida,80725
Florence,Alabama,80720
Rancho Cordova,California,80656
Morgantown,West Virginia,80626
Boynton Beach,Florida,80601
Somerville,Massachusetts,80549
North Port,Florida,80512
Lakewood,California,80510
Salisbury,Maryland,80352
South Jordan,Utah,80331
Parma,Ohio,80131
Pharr,Texas,79809
State College,Pennsylvania,79803
Plymouth,Minnesota,79526
Turlock,California,79394
Davis,California,79355
Perris,California,79349
Jonesboro,Arkansas,79187
Tustin,California,79035
Terre Haute,Indiana,78940
Upland,California,78940
Georgetown,Texas,78803
Texarkana,Texas,78541
Kendall,Florida,78527
Pasco,Washington,78446
Milpitas,California,78216
Carmichael,California,78070
Chino Hills,California,78024
Flower Mound,Texas,77886
Flagstaff,Arizona,77868
Alton,Illinois,77583
Pleasanton,California,77500
Cedar Park,Texas,77474
Bellflower,California,77396
Loveland,Colorado,77350
Mansfield,Ohio,77137
Hammond,Indiana,77098
Bethlehem,Pennsylvania,77069
Woodbury,Minnesota,76945
Alameda,California,76876
Wyoming,Michigan,76865
Schaumburg,Illinois,76780
Castle Rock,Colorado,76614
Evanston,Illinois,76552
Doral,Florida,76490
St. Joseph,Missouri,76484
Valdosta,Georgia,76393
Wausau,Wisconsin,76386
Pocatello,Idaho,76370
Elizabethtown,Kentucky,76363
Anniston,Alabama,76228
Arlington Heights,Illinois,76220
Rochester Hills,Michigan,76086
Southfield,Michigan,76025
Daytona Beach,Florida,75924
Pittsburg,California,75868
Oshkosh,Wisconsin,75850
Redmond,Washington,75721
Saratoga Springs,New York,75599
Apple Valley,California,75478
Mansfield,Texas,75398
Pawtucket,Rhode Island,75280
Missouri City,Texas,75234
Broomfield,Colorado,75110
Janesville,Wisconsin,74640
San Marcos,Texas,74469
Camarillo,California,74210
Jackson,Tennessee,74049
Dothan,Alabama,74002
Sherman,Texas,73984
Lauderhill,Florida,73961
Harrisonburg,Virginia,73926
Bolingbrook,Illinois,73813
Ellicott City,Maryland,73737
Alexandria,Louisiana,73457
Battle Creek,Michigan,73448
New Britain,Connecticut,73301
Sheboygan,Wisconsin,73268
Brunswick,Georgia,73159
Altoona,Pennsylvania,73070
Lodi,California,72996
Redlands,California,72985
Dale City,Virginia,72793
Glen Burnie,Maryland,72772
Mount Vernon,New York,72528
Lakeville,Minnesota,72480
Dover,New Hampshire,72476
Lebanon,Pennsylvania,72475
Rocklin,California,72340
Framingham,Massachusetts,72013
Wesley Chapel,Florida,71965
Noblesville,Indiana,71940
Tamarac,Florida,71887
Centreville,Virginia,71885
Poinciana,Florida,71665
Fairbanks,Alaska,71555
Lake Elsinore,California,71516
Camden,New Jersey,71471
Rogers,Arkansas,71411
Blaine,Minnesota,71261
Wilmington,Delaware,71124
St. Charles,Missouri,71048
Blacksburg,Virginia,71014
Waukesha,Wisconsin,70779
Casas Adobes,Arizona,70770
Baldwin Park,California,70720
Cleveland,Tennessee,70578
Dublin,California,70542
Ankeny,Iowa,70542
Maple Grove,Minnesota,70539
Bayonne,New Jersey,70468
North Richland Hills,Texas,70338
Eastvale,California,70179
Glens Falls,New York,70005
Longview,Washington,70004
Tulare,California,69984
Conway,Arkansas,69918
West Des Moines,Iowa,69893
Redondo Beach,California,69814
Walnut Creek,California,69790
Passaic,New Jersey,69651
Porterville,California,69616
Maricopa,Arizona,69554
Spring Hill,Tennessee,69298
Gaithersburg,Maryland,69225
El Paso de Robles,California,69218
East Orange,New Jersey,69183
Sumter,South Carolina,68914
Grand Forks,North Dakota,68853
Bristol,Tennessee,68737
Michigan City,Indiana,68617
Gary,Indiana,68604
Dubuque,Iowa,68567
Schenectady,New York,68521
Casper,Wyoming,68438
Hanford,California,68276
Shawnee,Kansas,68175
South Hill,Washington,68161
Eagan,Minnesota,68158
Union City,California,68141
Weston,Florida,67952
Kankakee,Illinois,67925
Leander,Texas,67880
Hammond,Louisiana,67874
Corvallis,Oregon,67769
Apex,North Carolina,67765
Yorba Linda,California,67407
Bethesda,Maryland,67403
Haverhill,Massachusetts,67387
Palo Alto,California,67231
Rockville,Maryland,67218
Spring,Texas,67103
Delray Beach,Florida,66940
Watsonville,California,66842
Mount Vernon,Washington,66704
Palatine,Illinois,66548
Victoria,Texas,66523
Skokie,Illinois,66427
Morristown,Tennessee,66407
Sammamish,Washington,66375
Union City,New Jersey,66375
Queen Creek,Arizona,66369
Alpharetta,Georgia,66355
Lima,Ohio,66286
Novi,Michigan,66224
Great Falls,Montana,66175
Ames,Iowa,66112
Malden,Massachusetts,65509
Dundalk,Maryland,65441
Albany,Oregon,65410
Castro Valley,California,65389
Dalton,Georgia,65317
Lynwood,California,65291
Pflugerville,Texas,65162
Sebring,Florida,65138
Kenner,Louisiana,65113
Port Charlotte,Florida,64971
Waltham,Massachusetts,64723
Commerce City,Colorado,64640
Brentwood,California,64609
North Little Rock,Arkansas,64504
South San Francisco,California,64487
Bellevue,Nebraska,64355
Burnsville,Minnesota,64295
Greenwood,Indiana,64237
Rowlett,Texas,64139
Laguna Niguel,California,64023
Bozeman,Montana,63917
Port Orange,Florida,63818
Reston,Virginia,63542
San Clemente,California,63510
Caldwell,Idaho,63465
Coon Rapids,Minnesota,63348
Millcreek,Utah,63342
