name,city,state,population
Sierra College,Rocklin,California,18642
University Of Louisiana At Lafayette,Lafayette,Louisiana,18627
University Of Akron Main Campus,Akron,Ohio,18608
Los Angeles Pierce College,Woodland Hills,California,18464
Tidewater Community College,Norfolk,Virginia,18408
University Of Massachusetts-Boston,Boston,Massachusetts,18381
Eastern Michigan University,Ypsilanti,Michigan,18301
Santa Rosa Junior College,Santa Rosa,California,18300
Georgia State University-Perimeter College,Atlanta,Georgia,18294
Northern Kentucky University,Highland Heights,Kentucky,18182
Macomb Community College,Warren,Michigan,18177
Texas Woman'S University,Denton,Texas,18115
Lamar University,Beaumont,Texas,18057
University Of New Hampshire-Main Campus,Durham,New Hampshire,18021
California State University-San Marcos,San Marcos,California,18014
California State University-East Bay,Hayward,California,18010
University Of Nebraska At Omaha,Omaha,Nebraska,17931
Pima Community College,Tucson,Arizona,17915
Cuny City College,New York,New York,17805
Cuny John Jay College Of Criminal Justice,New York,New York,17769
Harrisburg Area Community College,Harrisburg,Pennsylvania,17705
Vincennes University,Vincennes,Indiana,17687
Cuny New York City College Of Technology,Brooklyn,New York,17642
Seminole State College Of Florida,Sanford,Florida,17635
Wichita State University,Wichita,Kansas,17612
Cleveland State University,Cleveland,Ohio,17600
American University,Washington,Dc,17561
Saint Louis University,Saint Louis,Missouri,17516
University Of Vermont,Burlington,Vermont,17417
New Mexico State University-Main Campus,Las Cruces,New Mexico,17389
Western Washington University,Bellingham,Washington,17351
Tulsa Community College,Tulsa,Oklahoma,17348
Saint Louis Community College,Bridgeton,Missouri,17233
Modesto Junior College,Modesto,California,17222
University Of Denver,Denver,Colorado,17194
Tufts University,Medford,Massachusetts,17113
University Of Southern Mississippi,Hattiesburg,Mississippi,17101
Florida Gulf Coast University,Fort Myers,Florida,17084
American Intercontinental University,Chandler,Arizona,17069
Cuny Lehman College,Bronx,New York,16943
University Of California-San Francisco,San Francisco,California,16914
Wilmington University,New Castle,Delaware,16867
Eastern Kentucky University,Richmond,Kentucky,16828
Los Angeles Valley College,Valley Glen,California,16790
University Of Wisconsin-Oshkosh,Oshkosh,Wisconsin,16731
Cuny Kingsborough Community College,Brooklyn,New York,16728
Long Island University,Brookville,New York,16703
University Of South Alabama,Mobile,Alabama,16692
Indian River State College,Fort Pierce,Florida,16681
University Of Houston-Downtown,Houston,Texas,16610
Rio Hondo College,Whittier,California,16576
Florida Southwestern State College,Fort Myers,Florida,16502
University Of North Dakota,Grand Forks,North Dakota,16446
Fort Hays State University,Hays,Kansas,16425
The University Of Texas Health Science Center At Houston,Houston,Texas,16413
Grossmont College,El Cajon,California,16406
Minnesota State University-Mankato,Mankato,Minnesota,16365
East Tennessee State University,Johnson City,Tennessee,16253
Cypress College,Cypress,California,16203
Wake Forest University,Winston-Salem,North Carolina,16188
Southern Illinois University-Carbondale,Carbondale,Illinois,16170
Ecpi University,Virginia Beach,Virginia,16127
Savannah College Of Art And Design,Savannah,Georgia,16051
Johnson County Community College,Overland Park,Kansas,16048
Case Western Reserve University,Cleveland,Ohio,16040
Pace University,New York,New York,16030
Metropolitan Community College-Kansas City,Kansas City,Missouri,15983
University Of Central Oklahoma,Edmond,Oklahoma,15970
Kean University,Union,New Jersey,15950
Southeastern Louisiana University,Hammond,Louisiana,15949
Glendale Community College,Glendale,Arizona,15926
University Of Maryland-Baltimore County,Baltimore,Maryland,15909
Nassau Community College,Garden City,New York,15664
Oakland Community College,Bloomfield Hills,Michigan,15662
Los Angeles City College,Los Angeles,California,15605
Post University,Waterbury,Connecticut,15603
San Diego City College,San Diego,California,15561
University Of Missouri-St Louis,Saint Louis,Missouri,15528
Mt San Jacinto Community College District,San Jacinto,California,15396
Eastern Florida State College,Cocoa,Florida,15391
North Dakota State University-Main Campus,Fargo,North Dakota,15380
Southern Illinois University-Edwardsville,Edwardsville,Illinois,15303
Tarleton State University,Stephenville,Texas,15301
Cosumnes River College,Sacramento,California,15287
Foothill College,Los Altos Hills,California,15286
Southern Methodist University,Dallas,Texas,15204
Rutgers University-Newark,Newark,New Jersey,15191
University Of West Georgia,Carrollton,Georgia,15073
Arkansas State University,Jonesboro,Arkansas,15053
Metropolitan Community College Area,Omaha,Nebraska,15025
Madison Area Technical College,Madison,Wisconsin,15018
Moorpark College,Moorpark,California,15005
Princeton University,Princeton,New Jersey,14959
Community College Of Allegheny County,Pittsburgh,Pennsylvania,14888
Community College Of Philadelphia,Philadelphia,Pennsylvania,14837
Community College Of Rhode Island,Warwick,Rhode Island,14821
The University Of West Florida,Pensacola,Florida,14804
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,Florida,14797
North Carolina A & T State University,Greensboro,North Carolina,14746
University Of Wyoming,Laramie,Wyoming,14737
University Of Dayton,Dayton,Ohio,14723
Augusta University,Augusta,Georgia,14608
Milwaukee Area Technical College,Milwaukee,Wisconsin,14607
Brown University,Providence,Rhode Island,14602
College Of Staten Island Cuny,Staten Island,New York,14598
Bellevue University,Bellevue,Nebraska,14569
Delgado Community College,New Orleans,Louisiana,14531
Delaware Technical Community College-Terry,Dover,Delaware,14512
Chandler-Gilbert Community College,Chandler,Arizona,14479
University Of Maryland,Baltimore,Maryland,14456
Marquette University,Milwaukee,Wisconsin,14361
Stephen F Austin State University,Nacogdoches,Texas,14301
University Of Maine,Orono,Maine,14221
Icahn School Of Medicine At Mount Sinai,New York,New York,14219
Touro College,New York,New York,14139
Daytona State College,Daytona Beach,Florida,14124
Texas Christian University,Fort Worth,Texas,14068
Western Carolina University,Cullowhee,North Carolina,14067
Glendale Community College,Glendale,California,14045
San Diego Miramar College,San Diego,California,14026
Cuny Queensborough Community College,Bayside,New York,13996
University Of Colorado Colorado Springs,Colorado Springs,Colorado,13971
Villanova University,Villanova,Pennsylvania,13968
Thomas Jefferson University,Philadelphia,Pennsylvania,13939
University Of Alaska Anchorage,Anchorage,Alaska,13923
Marshall University,Huntington,West Virginia,13921
Campbellsville University,Campbellsville,Kentucky,13821
Southern Utah University,Cedar City,Utah,13780
The University Of Tennessee-Chattanooga,Chattanooga,Tennessee,13754
Santa Fe College,Gainesville,Florida,13753
Miracosta College,Oceanside,California,13753
Eastern Washington University,Cheney,Washington,13716
Kirkwood Community College,Cedar Rapids,Iowa,13689
Idaho State University,Pocatello,Idaho,13645
Howard University,Washington,Dc,13635
William Rainey Harper College,Palatine,Illinois,13604
Valdosta State University,Valdosta,Georgia,13567
Pikes Peak Community College,Colorado Springs,Colorado,13558
Anne Arundel Community College,Arnold,Maryland,13538
St Philip'S College,San Antonio,Texas,13532
Texas A & M University-Commerce,Commerce,Texas,13510
New Jersey Institute Of Technology,Newark,New Jersey,13482
Santa Barbara City College,Santa Barbara,California,13444
Bellevue College,Bellevue,Washington,13400
College Of The Sequoias,Visalia,California,13379
Colorado State University-Global Campus,Aurora,Colorado,13341
Youngstown State University,Youngstown,Ohio,13335
Dixie State University,Saint George,Utah,13327
South Dakota State University,Brookings,South Dakota,13288
College Of Lake County,Grayslake,Illinois,13288
University Of Wisconsin-Whitewater,Whitewater,Wisconsin,13246
San Bernardino Valley College,San Bernardino,California,13244
Antelope Valley College,Lancaster,California,13223
Grand Rapids Community College,Grand Rapids,Michigan,13191
University Of Idaho,Moscow,Idaho,13185
Northcentral University,La Jolla,California,13097
Saint Cloud State University,Saint Cloud,Minnesota,13081
Fox Valley Technical College,Appleton,Wisconsin,13060
Tyler Junior College,Tyler,Texas,13048
California State University-Bakersfield,Bakersfield,California,13040
University Of Northern Colorado,Greeley,Colorado,12990
Prince George'S Community College,Largo,Maryland,12968
Irvine Valley College,Irvine,California,12968
Oklahoma City Community College,Oklahoma City,Oklahoma,12935
Jefferson Community And Technical College,Louisville,Kentucky,12931
Ozarks Technical Community College,Springfield,Missouri,12883
Wright State University-Main Campus,Dayton,Ohio,12881
Hofstra University,Hempstead,New York,12873
Oregon Health & Science University,Portland,Oregon,12791
California Baptist University,Riverside,California,12757
Ferris State University,Big Rapids,Michigan,12733
Arapahoe Community College,Littleton,Colorado,12727
Hinds Community College,Raymond,Mississippi,12718
Central Washington University,Ellensburg,Washington,12717
Tallahassee Community College,Tallahassee,Florida,12688
Trident Technical College,Charleston,South Carolina,12684
Georgia Gwinnett College,Lawrenceville,Georgia,12641
Chabot College,Hayward,California,12626
Citrus College,Glendora,California,12619
Indiana State University,Terre Haute,Indiana,12614
Independence University,Salt Lake City,Utah,12602
Northeastern University Lifelong Learning Network,Boston,Massachusetts,12592
Bergen Community College,Paramus,New Jersey,12569
Northwestern State University Of Louisiana,Natchitoches,Louisiana,12460
California State University-Stanislaus,Turlock,California,12452
Louisiana Tech University,Ruston,Louisiana,12449
Maryville University Of Saint Louis,Saint Louis,Missouri,12436
Radford University,Radford,Virginia,12399
Brandman University,Irvine,California,12399
Ventura College,Ventura,California,12365
Washtenaw Community College,Ann Arbor,Michigan,12355
University Of Wisconsin-Eau Claire,Eau Claire,Wisconsin,12300
Texas A & M University-Corpus Christi,Corpus Christi,Texas,12293
Henry Ford College,Dearborn,Michigan,12290
Fayetteville Technical Community College,Fayetteville,North Carolina,12266
College Of Charleston,Charleston,South Carolina,12242
Lansing Community College,Lansing,Michigan,12207
Central Connecticut State University,New Britain,Connecticut,12196
Moraine Valley Community College,Palos Hills,Illinois,12182
Texas State Technical College,Waco,Texas,12178
Bridgewater State University,Bridgewater,Massachusetts,12164
Del Mar College,Corpus Christi,Texas,12096
University Of San Francisco,San Francisco,California,12077
The New School,New York,New York,12064
West Los Angeles College,Culver City,California,12061
Golden West College,Huntington Beach,California,12031
Guilford Technical Community College,Jamestown,North Carolina,12017
The University Of Montana,Missoula,Montana,12017
Los Angeles Trade Technical College,Los Angeles,California,12014
Arkansas Tech University,Russellville,Arkansas,11954
Chapman University,Orange,California,11951
Suny Empire State College,Saratoga Springs,New York,11890
University Of Central Arkansas,Conway,Arkansas,11890
Loyola Marymount University,Los Angeles,California,11878
University Of Minnesota-Duluth,Duluth,Minnesota,11858
Northeast Wisconsin Technical College,Green Bay,Wisconsin,11851
Wayne County Community College District,Detroit,Michigan,11826
University Of Wisconsin-La Crosse,La Crosse,Wisconsin,11808
Greenville Technical College,Greenville,South Carolina,11796
Palo Alto College,San Antonio,Texas,11760
William & Mary,Williamsburg,Virginia,11750
College Of The Desert,Palm Desert,California,11741
Angelo State University,San Angelo,Texas,11732
Joliet Junior College,Joliet,Illinois,11692
Central Texas College,Killeen,Texas,11681
College Of Western Idaho,Nampa,Idaho,11643
Pepperdine University,Malibu,California,11626
Austin Peay State University,Clarksville,Tennessee,11626
Coastal Carolina University,Conway,South Carolina,11621
Seton Hall University,South Orange,New Jersey,11614
Stark State College,North Canton,Ohio,11594
University Of Alabama In Huntsville,Huntsville,Alabama,11591
Victor Valley College,Victorville,California,11577
University Of St Thomas,Saint Paul,Minnesota,11572
Quinnipiac University,Hamden,Connecticut,11564
Tennessee Technological University,Cookeville,Tennessee,11533
William Paterson University Of New Jersey,Wayne,New Jersey,11518
Park University,Parkville,Missouri,11508
Farmingdale State College,Farmingdale,New York,11492
Monroe Community College,Rochester,New York,11482
University Of Southern Indiana,Evansville,Indiana,11480
Indiana University Of Pennsylvania-Main Campus,Indiana,Pennsylvania,11480
Stockton University,Galloway,New Jersey,11479
Merced College,Merced,California,11476
Saint Leo University,Saint Leo,Florida,11331
Suny Westchester Community College,Valhalla,New York,11296
Brookdale Community College,Lincroft,New Jersey,11294
Middlesex County College,Edison,New Jersey,11266
University Of Northern Iowa,Cedar Falls,Iowa,11264
University Of Central Missouri,Warrensburg,Missouri,11236
University Of San Diego,San Diego,California,11226
Bluegrass Community And Technical College,Lexington,Kentucky,11216
Lorain County Community College,Elyria,Ohio,11208
Southeast Missouri State University,Cape Girardeau,Missouri,11205
Rice University,Houston,Texas,11186
Truckee Meadows Community College,Reno,Nevada,11172
Regent University,Virginia Beach,Virginia,11143
Allan Hancock College,Santa Maria,California,11085
The University Of Texas At Tyler,Tyler,Texas,11071
Southern Connecticut State University,New Haven,Connecticut,11055
Mercy College,Dobbs Ferry,New York,11039
University Of South Dakota,Vermillion,South Dakota,11026
Cuny Graduate School And University Center,New York,New York,11015
Florida Agricultural And Mechanical University,Tallahassee,Florida,11014
Creighton University,Omaha,Nebraska,11004
Azusa Pacific University,Azusa,California,10969
Mercer University,Macon,Georgia,10965
West Texas A & M University,Canyon,Texas,10964
Delaware County Community College,Media,Pennsylvania,10961
The University Of Tampa,Tampa,Florida,10960
Indiana Wesleyan University-National & Global,Marion,Indiana,10944
Duquesne University,Pittsburgh,Pennsylvania,10939
Montgomery County Community College,Blue Bell,Pennsylvania,10900
Sacred Heart University,Fairfield,Connecticut,10896
Polk State College,Winter Haven,Florida,10892
Bunker Hill Community College,Boston,Massachusetts,10853
Phoenix College,Phoenix,Arizona,10841
Thomas Edison State University,Trenton,New Jersey,10804
University Of California-Merced,Merced,California,10802
Cuesta College,San Luis Obispo,California,10780
Northampton County Area Community College,Bethlehem,Pennsylvania,10770
Howard Community College,Columbia,Maryland,10755
Norco College,Norco,California,10748
Murray State University,Murray,Kentucky,10745
Pasco-Hernando State College,New Port Richey,Florida,10631
Cabrillo College,Aptos,California,10545
Rasmussen University-Florida,Ocala,Florida,10519
Prairie View A & M University,Prairie View,Texas,10518
Purdue University Northwest,Hammond,Indiana,10505
Academy Of Art University,San Francisco,California,10505
Baylor College Of Medicine,Houston,Texas,10496
University Of Texas Southwestern Medical Center,Dallas,Texas,10487
Santa Clara University,Santa Clara,California,10459
Strayer University-Global Region,Washington,Dc,10457
Southeast Community College Area,Lincoln,Nebraska,10433
Louisiana State University-Shreveport,Shreveport,Louisiana,10422
Southeastern University,Lakeland,Florida,10410
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,Florida,10365
Jacksonville State University,Jacksonville,Alabama,10356
Morehead State University,Morehead,Kentucky,10349
Butte College,Oroville,California,10345
Pellissippi State Community College,Knoxville,Tennessee,10318
University Of Arkansas At Little Rock,Little Rock,Arkansas,10287
Dartmouth College,Hanover,New Hampshire,10253
