name;city;state;population
University Of North Carolina At Greensboro;Greensboro;Nc;22811
Montgomery College;Rockville;Md;22779
Baylor University;Waco;Tx;22706
Fullerton College;Fullerton;Ca;22647
Western Michigan University;Kalamazoo;Mi;22608
St. John'S University-New York;Queens;Ny;22603
Palomar College;San Marcos;Ca;22506
University Of Hawaii At Manoa;Honolulu;Hi;22457
Cuny Bernard M Baruch College;New York;Ny;22122
Miami University-Oxford;Oxford;Oh;22122
Devry University-Illinois;Chicago;Il;22110
Cuny Queens College;Queens;Ny;22053
Cuyahoga Community College District;Cleveland;Oh;22007
University Of North Georgia;Dahlonega;Ga;21923
College Of The Canyons;Santa Clarita;Ca;21813
California State University-San Bernardino;San Bernardino;Ca;21777
Hillsborough Community College;Tampa;Fl;21688
El Camino Community College District;Torrance;Ca;21680
San Diego Mesa College;San Diego;Ca;21616
University Of Toledo;Toledo;Oh;21610
Cerritos College;Norwalk;Ca;21584
City College Of San Francisco;San Francisco;Ca;21493
National University;La Jolla;Ca;21431
Chaffey College;Rancho Cucamonga;Ca;21404
University Of Rochester;Rochester;Ny;21328
Santa Ana College;Santa Ana;Ca;21321
Riverside City College;Riverside;Ca;21112
Metropolitan State University Of Denver;Denver;Co;21004
Oakland University;Rochester Hills;Mi;20986
Sacramento City College;Sacramento;Ca;20974
Binghamton University;Vestal;Ny;20959
Suny At Albany;Albany;Ny;20764
University Of Rhode Island;Kingston;Ri;20758
Sinclair Community College;Dayton;Oh;20546
California State University-Dominguez Hills;Carson;Ca;20426
San Antonio College;San Antonio;Tx;20419
University Of North Carolina Wilmington;Wilmington;Nc;20394
Loyola University Chicago;Chicago;Il;20366
University Of The Cumberlands;Williamsburg;Ky;20362
Bowling Green State University-Main Campus;Bowling Green;Oh;20322
Front Range Community College;Westminster;Co;20282
Saddleback College;Mission Viejo;Ca;20211
Rochester Institute Of Technology;Rochester;Ny;20200
Community College Of Baltimore County;Baltimore;Md;20170
Cuny Brooklyn College;Brooklyn;Ny;20147
University Of Massachusetts-Lowell;Lowell;Ma;20126
Western Kentucky University;Bowling Green;Ky;19864
Central Michigan University;Mount Pleasant;Mi;19811
Northern Illinois University;Dekalb;Il;19732
Diablo Valley College;Pleasant Hill;Ca;19715
Fordham University;Bronx;Ny;19631
De Anza College;Cupertino;Ca;19622
West Chester University Of Pennsylvania;West Chester;Pa;19588
Montana State University;Bozeman;Mt;19554
Columbia Southern University;Orange Beach;Al;19536
Tulane University Of Louisiana;New Orleans;La;19524
Blinn College;Brenham;Tx;19491
Northwest Vista College;San Antonio;Tx;19448
Vanderbilt University;Nashville;Tn;19417
Carnegie Mellon University;Pittsburgh;Pa;19307
Central Piedmont Community College;Charlotte;Nc;19271
Orange Coast College;Costa Mesa;Ca;19219
University Of Missouri-Kansas City;Kansas City;Mo;19161
Cuny Laguardia Community College;Long Island City;Ny;19132
Boston College;Chestnut Hill;Ma;19123
University Of North Florida;Jacksonville;Fl;19108
San Joaquin Delta College;Stockton;Ca;19036
University Of Notre Dame;Notre Dame;In;19035
Southwestern College;Chula Vista;Ca;18957
Troy University;Troy;Al;18836
Mesa Community College;Mesa;Az;18794
Rio Salado College;Tempe;Az;18769
California State University-Chico;Chico;Ca;18659
Sierra College;Rocklin;Ca;18642
University Of Louisiana At Lafayette;Lafayette;La;18627
University Of Akron Main Campus;Akron;Oh;18608
Los Angeles Pierce College;Woodland Hills;Ca;18464
Tidewater Community College;Norfolk;Va;18408
University Of Massachusetts-Boston;Boston;Ma;18381
Eastern Michigan University;Ypsilanti;Mi;18301
Santa Rosa Junior College;Santa Rosa;Ca;18300
Georgia State University-Perimeter College;Atlanta;Ga;18294
Northern Kentucky University;Highland Heights;Ky;18182
Macomb Community College;Warren;Mi;18177
Texas Woman'S University;Denton;Tx;18115
Lamar University;Beaumont;Tx;18057
University Of New Hampshire-Main Campus;Durham;Nh;18021
California State University-San Marcos;San Marcos;Ca;18014
California State University-East Bay;Hayward;Ca;18010
University Of Nebraska At Omaha;Omaha;Ne;17931
Pima Community College;Tucson;Az;17915
Cuny City College;New York;Ny;17805
Cuny John Jay College Of Criminal Justice;New York;Ny;17769
Harrisburg Area Community College;Harrisburg;Pa;17705
Vincennes University;Vincennes;In;17687
Cuny New York City College Of Technology;Brooklyn;Ny;17642
